Index,condition,participantId,geo-event-count,geo-enjoyable,geo-likable,geo-pleasing,geo-nice,geo-appealing,geo-BeauVis,geo-moire,geo-replay-notes,icon-event-count,icon-enjoyable,icon-likable,icon-pleasing,icon-nice,icon-appealing,icon-BeauVis,icon-moire,icon-replay-notes,gender,gender-other,age,experience,design-strategies-goals,design-strategies-iconic-textures,design-strategies-geometric-textures,Distinguishability,Clarity,Semantic association,Visual pleasure,Visual balance,Other,compare-texture,Geometric,Iconic,different-chart-geo,work for bar,work for pie,work for map,different-chart-icon,work for bar,work for pie,work for map,notes,insights
P-003,"{'condition_chart': 2, 'condition_texture': 0}",AovZYISNS5IptTLpjslN,470,5,5,5,5,4,4.8,5,?,825,4,5,4,4,4,4.2,3,,Man,,24,3,"1. generally aesthetic pleasant
2. be able to differentiate different categories","they are way too big in the beginning, so i tried to make them smaller so that they can be real 'patterns' instead of one big geo shape",make them have 'even density' for aesthetic pleasant,x,,,x,x,,"it is not easy to do. the system has many configurations which is great. however, i do not have expertise (or say 'prescribed guidelines') to know exactly what i should do. so i did it based on intuition, which is surely imperfect.",/,/,"yes, they work fine. though i feel that it should be more differentiated in the two charts on the right",Yes,Yes,NA,"yes, even better. as they have more space in this two charts to hold the icons.",Yes,Yes,NA,the system has many configurations which is great. ,
P-054,"{'condition_chart': 2, 'condition_texture': 0}",e5da64b7-4415-4296-93e5-daa52ba45d7b,256,6,6,6,6,7,6.2,3,?,1052,4,5,5,4,5,4.6,?,,Man,,28,5,"unambiguous to distinguish adjacent regions
unambiguous to distinguish any pairs of regions
ideally, able to gist patterns by looking at the whole map
doesn't lead to a headache","tried to vary & make use of all dimensions (color, width, angle, density, etc.)","tried to vary & make use of all dimensions (color, width, angle, density, etc.)",x (especially for adjacent),,,x,,,"it's probably harder to make out big-picture patterns in the iconic version. but you would technically not even need a legend (except for the celery? i didn't recognize celery in there :) ). I could've probably made a better job with iconic patterns at the expense of them being recognizable (e.g., make the icons tiny and dense s.t. they resemble an almost geometric pattern)",/,icon semantic association,yes! i think it looks great here,Yes,Yes,NA,I think it does actually! It's a bit more messy in this example.,Yes,Yes,NA,,
P-50,"{'condition_chart': 1, 'condition_texture': 0}",99c3b5ae-2ac3-4f0a-a198-a345b44e9441,850,6,5,5,5,5,5.2,7,,1107,6,6,4,5,5,5.2,2,"https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=99c3b5ae-2ac3-4f0a-a198-a345b44e9441 (1) started by making the outline and halo bold (in their previous geo pattern design, they remove outline at all) (2) alter black and white icon for adjacent categories (3) edit each cateogory's parameters (4) finally tested with different datasets",Questioning,,38,13,"Alternating contrast between adjacent slices (in terms of light/dark, pattern type, orientation, etc). (less of an issue for the finer-grain patterns, so I wanted minimal borders to avoid b","For the glyph-based design, I attempted to preserve *roughly* the orientation in the legend, and needed to really bold the outlines to compensate for shapes that disappeared in small slices. It felt like a difficult constraint to keep the shapes both visually distinct from each other, yet also readily comparable to the legend. And size felt really constrained; didn't want shapes to disappear in small slices, but also be recognizable (I think I failed the former in a lot of cases).

W.r.t. principles, ... I think I was probably relying more on different orientations for some kind of optical flow thing going on with the glyphs, that I didn't need as much for the geometric patterns? TBH, I haven't encountered pattern encodings / perception since ... taking a vis class, and I probably failed that part of the test then, too. Which is really weird, considering my childhood affinity for black & white patterns","Beyond vague attempts to alternate pattern type and orientation, I think I mostly relied on varying ink density, which ... to be fair ... IIRC is more of a Tufte rule of thumb than necessarily validated by perception science? Or, come to think of it, by *varying* ink density as an encoding, maybe I'd at least mildly offend Tufte...? Mostly, I was just trying to re-live the joy of pulling the pattern tricks I used to use in ClarisWorks on my VERY low-resolution black & white mac when I was a kid-when I wanted to approximate greyscale. Arguably, with a high-enough resolution display, you could probably cheat and achieve (as far as the human eye is concerned) actual shades of grey (now that I'm thinking about it, I kind of want to try again).",x (different pattern types for adjacent categories),,,,,only play with density.,"Iconic ones seem pretty terrible for visualization designs like pie charts, in which the area that they need to represent might be small.

In either case, however (especially with presumed color in everything), the minimalism of black & white could likely help with memorability, economies w.r.t. printing, and absolutely necessary for things like e-ink displays.

We probably need more perception research about how to use them effectively, rather than worrying about whether we'd offend Tufte (or whether that even matters)",/,not for pie chart; useful to investigate pattern,"Yes, at least to me!

But, to be fair, I've spent more time staring at black and white patterns than most people. The France map especially reminds me of a Risk game I used to play—I would occasionally try to make the game harder by deliberately making computer players with identical or very-similar patterns.

In the event that would be a fun experience (or if replicating my childhood experience would be useful for a ... fun future perception study?), visit https://infinitemac.org/1990/System%206.0.5, and navigate to Infinite HD -> Games -> Risk (may need to sort by name)

IIRC, to add custom patterns, you might need to use ResEdit",Yes,NA,Yes,"Bar chart: sure

Map: hell no",Yes,NA,No,,
P-017,"{'condition_chart': 0, 'condition_texture': 1}",944e5429-c0c5-4f1e-9483-90dd98f63b88,2454,6,5,5,5,7,5.6,2,"https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=944e5429-c0c5-4f1e-9483-90dd98f63b88 (1) start by trying different default patterns (2) try multiple times change all patterns to the same (same pattern type + same all parameters), tried all dot, all line, then start to edit based on this all same situation. (3) tried make outline to 0 but then change back (4) tried big / overlapped dots for multiple times.",3005,5,6,5,5,5,5.2,3,,Man,,31,10,"I wanted it to look nice.
I also wanted it to be easy to distinguish bars from each other more easily. To do this I alternated between  primarily dark vs. light bars."," For icons this meant.
- icons don't overlap
- icons are a reasonable that fits in the bar but is big enough to be recognizable
- icons should be oriented in a reasonable way, either how they grow, or how they may rest on a table when prepping them
","straight veggies had lines (carrots celery), circle veggies had dots (olive tomato). The others don't fit as nicely, but I tried to make them sort of abstractly similar. Mushrooms grow in the dark. The corn pattern was supposed to sort of look like a grid of ears of corn, didn't really work though.
",,x,x (icon recognizable; orientation matches the reality; geo),x,,,"they look cool, I like them",/,/,"the left one works, the map doesn't work as well, it is too busy",NA,Yes,No,"the pie chart works, the map doesn't, it is even more busy here",NA,Yes,No,,
P-048,"{'condition_chart': 1, 'condition_texture': 0}",99b29fb2-27e9-4232-ab2e-2bf82bd3a0ec,3332,7,7,6,6,6,6.4,2,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=99b29fb2-27e9-4232-ab2e-2bf82bd3a0ec (1) try different default pattern sets (2) work on one (3) edit patterns one by one, not follow the order of categories on the chart, but pick the one they think they should edit to edit (4) after first round editing, try different default patterns again (5) test with different datasets during the whole process",1438,5,6,6,6,5,5.6,1,,Man,,25,4,"When first look at the pie chart, the chart do not emphasize any parts too much. Also I want to make it looks comfortable, although it may not deliver the information efficient. At least, at first glance, I would like to read it. ","Keep everything looks the same. I find if there is an equal density, then you can easily read this pie chart, every pattern is in the expected places. For example, When I look at carrot, I can also move my sight to the left, with fixed distance, then I find the tomato. If I give them various   density or rotation, it will break this expectation. Also, I rotate some icons, to avoid they looks the same (example: carrot and celery) I also do not use simplify the version because that is too simple, some details of light may makes me quickly recognize the icon. Also I do not use black because I do not like high contrast. I also add some holo on the pie chart edges, because the pattern may cross with the line, makes it hard to identiy icons and pie chart lines.","I try to make them looks same density, also I try to avoid same pattern for the neighboring items. When I adjust the parameters, I also find it is interesting to create new pattern by flipping black and white, it allows me to use grid or circle to create new patterns. I avoid contrast because pure black vs pure white looks not good, also my background is white, so I think the white should become the basic color. I find lines are difficult to adjust, because if I give higher frequencies (density), the pattern makes me feel not good, or dizzy. I also try to make new pattern (stars,rectangles), but I find if I distort them too much, then the pattern makes me feel not good, looks like something dirty on the pie chart. For the grid, strech too much may make me feel wired, but I also need to clarify it from the existing grid, so I adjust its distort so that when I first look at the pie chart, I know that is different, although it is still a bit hard to figure out the actual shape. I did not think about the relationship between pattern and name, because there are only a few shapes here...",,,,x,x (even density),try to create new shapes; moire effect - uncomfortable,"geometric is really constrained, and I try to find out if there is any pattern that may looks different. (So I create pattern based on flip color, that may not suit the software design intend lol). Also it is hard to balance aethestic and readablity when I try to design with line,grid,dot patterns. If I like to give up aesthetics, I will use high contrast color. If the software is support, I may also want to adjust the color (like gray scale, but not completely black or white). Iconic patterns are easist to design, just make everything looks regular, in order. And then tweak the icon, that is done! But when I read these two pie chart, I would like the geometric one, it looks more comfortable and my brain feels not overwhelming, compare to the iconic one. The iconic one I think it has worth readablity, or the efficiency to gather the information. The geomtric one is more clear if I want to know how much is xxx take part of the pie chart.","geometric is constrained and harder to design, but more effective",iconic easier to design.,"For bar chart, I think no, I need to tweak the rotation, so every bar chart looks the same orientation. Otherwise it looks the bar is tilt. For the map, I think I need to improve density, becase the pattern is a bit sparse here.",No,NA,No,"Completely not work. For bar chart, the pattern seems a bit wired, I think I need to adjust offset, otherwise it looks strange. For map... I do not think iconic pattern works on such dense map.. unless the map do not have too many areas, and it is sparse.",No,NA,No,,
P-047,"{'condition_chart': 0, 'condition_texture': 0}",dce48040-7493-4d9f-a681-2a5726962ef2,213,6,5,5,6,5,5.4,5,https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=dce48040-7493-4d9f-a681-2a5726962ef2 (1) started by testing different datasets (2) tried different default patterns (3) focus on one default dataset and edit pattern of carrot (so almost the default dataset),353,6,6,6,5,6,5.8,2,"https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=dce48040-7493-4d9f-a681-2a5726962ef2 (1) tried to remove outline but change back (2) change different icon styles (3) after finishing design, tested with different datasets (4) finally edited carrot pattern, tested change background, and then move pattern possition to polish it",Man,,34,5,"Distinct pattern for each category. Also, each pattern is highly different from the others.  ","Generally, I chose options with high contrast and darker fill. I chose a light fill for the eggplant to make it look different from celery","Generally, dots for circular looking vegetables and lines for others. I am not happy with my choice of carrot and olive, though.",x,,x (geo),,,,I like iconic as it assists users to not to read the x label and directly know the category just by looking into the bar height.,/,icon semantic association,"For the pie chart, it works. But for the map, it clutters the visuals. So, I am not entirely happy with that.",NA,Yes,No,It doesn't work in either case (map or pie chart),NA,No,No,,
P41,"{'condition_chart': 0, 'condition_texture': 1}",25fee6c9-508d-4922-91e4-da43d63fa28c,534,3,3,3,3,3,3,6,,364,6,6,6,6,6,6,3,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=25fee6c9-508d-4922-91e4-da43d63fa28c   (1) started by editing on the default iconic patterns (2) when starting to change pattern styles, always keep all icon have the same style/size/density (always use the ""for all"" option), but make changes to individual categry's orientation (3) tested different icon styles (4) tested with different datasets",Woman,,37,3,clearly distinguished patterns,clearer contrast to see the icons and smaller more dense icons to fill the smaller bar charts and still be able to distinguish them,using as many different shapes and angles and thickness. Less dots and less dense patterns as they are painful to look at.,x (multiple channels),,,,,,"I like the idea when the icons are the same as the data name which might not be possible all the times. In case it's possible (like the vegetables example here) I would use it. But for other non-representable data, using patterns might be the only choice.",/,icon semantic association,I would definitely prioritize a plain white and a plain black and then start adding patterns. For me the eggplant (black background) is the easiest to distinguish in those figures from all the other values.,NA,No,No,"Definitely not in the map. In the pie chart, maybe if we change the rotation of some values but in this case I'd prefer a plain white and only one icon in each area.",NA,No,No,,
P-60,"{'condition_chart': 0, 'condition_texture': 1}",8fb95e0a-c455-42e5-8048-b28dc7b56230,481,7,7,7,7,5,6.6,2,https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=8fb95e0a-c455-42e5-8048-b28dc7b56230  (1) started from the given default patterns (2) edit patterns from left to right one by one (3) tested with different datasets at last,339,7,7,7,6,5,6.4,1,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=8fb95e0a-c455-42e5-8048-b28dc7b56230 (1) started by moving the icon position then size, always use ""for all"" (2) after the global change, start to edit individual patterns parameters, like orientation of corn (3) tested with different icon style (like make some categories have filled icons some outline), but finally change all icons to the same",Man,,45,1,I wanted to make sure that each bar was visually distinguishable from the other bars. I also tried to limit making any particular bar stand out.,I mostly tried to keep the aesthetics from one bar to the next given that the icons already had significant descriptive value.,"I followed a line/dot/grid pattern to make sure that no two adjacent bars used the same basic type of geometric pattern. I made sure that even those bars that used the same underlying geometric pattern were visually distinct, using rotation and spacing to help make them look different. I tried to keep the inking, particularly the line widths, of the patterns look similar. ",x (different pattern types for adjacent categories),,,x,,,"The iconic patterns are more effective at communicating meaning than the geometric patterns, which are too abstract.",too asbtract,semantic assciation,"They celery and mushroom patterns are a little too closely related. The spacing in the tomato pattern is also too large. Even without some tweaks to these patterns, as long as there are labels, I can identify the vegetable for each region of the map.",NA,No,No,"The pie chart is fine, but the icons are too spaced out and big for the map.",NA,Yes,No,,
P-046,"{'condition_chart': 1, 'condition_texture': 1}",1adc8e8a-f066-4e15-8ae1-15bf1054eab0,591,7,7,6,7,7,6.8,3,"https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=1adc8e8a-f066-4e15-8ae1-15bf1054eab0 (1) edit patterns with some categories (2) make the outline and halo bold (3) continue to change the pattern parameters, mainly size and density (4) never change dataset",517,7,7,7,7,7,7,2,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=1adc8e8a-f066-4e15-8ae1-15bf1054eab0 (1) started by editing the outline (2) then background, alter the background and icon styles  -- apply this design strategy to all categories(3) edit icon size to match food (4) never change dataset",Woman,,42,10,Good differentiation between the pie pieces,"Somewhat light dark, light dark. Also varying density and icon size.",Big differences between adjacent pieces AND big differences between similar patterns.,x (different pattern types for adjacent categories),,,,,,You very much have to be thoughtful.,/,/,Barely. It's hard to get any big takeaways from the map.,,NA,,Not really. It works for the bar graph but there are no easy takeaways from the map. Too busy.,Yes,NA,No,,
P-001,"{'condition_chart': 2, 'condition_texture': 1}",6d78c17f-d258-4796-bc3f-bc511b4ff87c,776,7,7,7,7,7,7,4,https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=6d78c17f-d258-4796-bc3f-bc511b4ff87c (1) edit categories one by one (2) finally change outline.,910,7,7,7,7,7,7,2,,Woman,,52,8,Categories that were mutually exclusive visually. Borders that stand out from the patterns.,Using the zoom and color functions to create darker/lighter patterns; trying to keep some of the iconic pattern shapes recognisable.,"The angle of the lines and grids are similar (~45 degree angle). Varied composition pattern (e.g., grids, dots, lines, solids) and light/darkenss.",x,,,,,borders,"I am drawn to the geometric pattern. The iconic pattern is more difficult to read and, if I were to do it again, I would use slimmer borders and give up some of the recognisability of the iconic patterns to improve the aesthetics of the map (zoom more, adjust angles and play with colour to mimic the geometric patterns).",/,Iconic difficult.,"Functionally, they're OK.",Yes,Yes,NA,"Here, I think the borders are too heavy and the loss of the iconic pattern (due to zooming, etc. to make it more geometric--which worked in the map) doesn't work as well. For example, it is better in the bar chart to be able to see the carrots and the tomatoes in the pattern. Whereas, in the map this seemed like too much detail. ",No,No,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,9.525,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.50628789,,,,,,,,,,,,,,,,,,,,,,
